Date,State,Negative,Positive,Total Samples
21-07-2020,Andaman and Nicobar Islands,,212,20642
22-07-2020,Andaman and Nicobar Islands,,221,21043
23-07-2020,Andaman and Nicobar Islands,,240,21310
24-07-2020,Andaman and Nicobar Islands,,259,21743
25-07-2020,Andaman and Nicobar Islands,,290,21965
26-07-2020,Andaman and Nicobar Islands,,324,22049
27-07-2020,Andaman and Nicobar Islands,,338,22548
28-07-2020,Andaman and Nicobar Islands,,363,22925
29-07-2020,Andaman and Nicobar Islands,,428,23217
30-07-2020,Andaman and Nicobar Islands,,471,23615
31-07-2020,Andaman and Nicobar Islands,,548,24038
01-08-2020,Andaman and Nicobar Islands,,636,24308
02-08-2020,Andaman and Nicobar Islands,,734,24580
03-08-2020,Andaman and Nicobar Islands,,830,25034
04-08-2020,Andaman and Nicobar Islands,,928,25492
05-08-2020,Andaman and Nicobar Islands,,1027,25826
06-08-2020,Andaman and Nicobar Islands,,1123,26516
07-08-2020,Andaman and Nicobar Islands,,1222,26915
08-08-2020,Andaman and Nicobar Islands,,1351,27073
09-08-2020,Andaman and Nicobar Islands,,1490,27103
10-08-2020,Andaman and Nicobar Islands,,1625,27346
11-08-2020,Andaman and Nicobar Islands,,1764,27455
12-08-2020,Andaman and Nicobar Islands,,1900,27744
13-08-2020,Andaman and Nicobar Islands,,2037,27973
14-08-2020,Andaman and Nicobar Islands,,2186,28129
15-08-2020,Andaman and Nicobar Islands,,2306,28209
16-08-2020,Andaman and Nicobar Islands,,2399,28229
17-08-2020,Andaman and Nicobar Islands,,2445,28672
18-08-2020,Andaman and Nicobar Islands,,2529,28937
19-08-2020,Andaman and Nicobar Islands,,2604,29303
20-08-2020,Andaman and Nicobar Islands,,2680,29487
21-08-2020,Andaman and Nicobar Islands,,2747,29573
22-08-2020,Andaman and Nicobar Islands,,2808,29888
23-08-2020,Andaman and Nicobar Islands,,2860,30278
24-08-2020,Andaman and Nicobar Islands,,2904,30513
25-08-2020,Andaman and Nicobar Islands,,2945,31082
26-08-2020,Andaman and Nicobar Islands,,2985,31646
27-08-2020,Andaman and Nicobar Islands,,3018,31830
28-08-2020,Andaman and Nicobar Islands,,3050,32100
29-08-2020,Andaman and Nicobar Islands,,3081,32407
30-08-2020,Andaman and Nicobar Islands,,3104,32674
31-08-2020,Andaman and Nicobar Islands,,3132,33485
01-09-2020,Andaman and Nicobar Islands,,3160,35104
02-09-2020,Andaman and Nicobar Islands,,,36136
03-09-2020,Andaman and Nicobar Islands,,3223,37075
04-09-2020,Andaman and Nicobar Islands,,3257,37825
05-09-2020,Andaman and Nicobar Islands,,3292,38574
06-09-2020,Andaman and Nicobar Islands,,3332,39205
07-09-2020,Andaman and Nicobar Islands,,3359,39995
08-09-2020,Andaman and Nicobar Islands,,3392,41039
09-09-2020,Andaman and Nicobar Islands,,3426,41776
10-09-2020,Andaman and Nicobar Islands,,3465,42792
11-09-2020,Andaman and Nicobar Islands,,3494,43680
12-09-2020,Andaman and Nicobar Islands,,3521,44570
13-09-2020,Andaman and Nicobar Islands,,3546,45279
14-09-2020,Andaman and Nicobar Islands,,3557,45987
15-09-2020,Andaman and Nicobar Islands,,3574,46823
16-09-2020,Andaman and Nicobar Islands,,3593,47794
17-09-2020,Andaman and Nicobar Islands,,3604,48861
18-09-2020,Andaman and Nicobar Islands,,3631,50035
19-09-2020,Andaman and Nicobar Islands,,3644,50681
20-09-2020,Andaman and Nicobar Islands,,3651,51262
02-04-2020,Andhra Pradesh,1175,132,1800
10-04-2020,Andhra Pradesh,6009,365,6374
11-04-2020,Andhra Pradesh,6577,381,6958
12-04-2020,Andhra Pradesh,6553,405,6958
13-04-2020,Andhra Pradesh,8323,432,8755
14-04-2020,Andhra Pradesh,10032,473,10505
15-04-2020,Andhra Pradesh,11088,525,11613
16-04-2020,Andhra Pradesh,19701,534,20235
17-04-2020,Andhra Pradesh,,572,20235
18-04-2020,Andhra Pradesh,20487,603,21450
19-04-2020,Andhra Pradesh,26311,647,26958
20-04-2020,Andhra Pradesh,30011,722,30733
21-04-2020,Andhra Pradesh,34998,757,35755
22-04-2020,Andhra Pradesh,40699,813,41512
23-04-2020,Andhra Pradesh,47139,893,48032
24-04-2020,Andhra Pradesh,53383,955,54338
25-04-2020,Andhra Pradesh,60250,1016,61266
26-04-2020,Andhra Pradesh,66937,1097,68034
27-04-2020,Andhra Pradesh,73374,1177,74551
28-04-2020,Andhra Pradesh,79075,1259,80334
29-04-2020,Andhra Pradesh,86729,1332,88061
30-04-2020,Andhra Pradesh,93155,1403,94558
01-05-2020,Andhra Pradesh,100997,1463,102460
02-05-2020,Andhra Pradesh,106878,1525,108403
03-05-2020,Andhra Pradesh,113354,1583,114937
04-05-2020,Andhra Pradesh,123579,1650,125229
05-05-2020,Andhra Pradesh,131775,1717,133492
06-05-2020,Andhra Pradesh,139497,1777,141274
07-05-2020,Andhra Pradesh,147528,1833,149361
08-05-2020,Andhra Pradesh,154794,1887,156681
09-05-2020,Andhra Pradesh,163139,1930,165069
10-05-2020,Andhra Pradesh,171755,1980,173735
11-05-2020,Andhra Pradesh,179126,2018,181144
12-05-2020,Andhra Pradesh,189823,2051,191874
13-05-2020,Andhra Pradesh,199059,2137,201196
14-05-2020,Andhra Pradesh,208247,2100,210452
15-05-2020,Andhra Pradesh,217183,2157,219490
17-05-2020,Andhra Pradesh,236618,2230,238998
18-05-2020,Andhra Pradesh,246279,2282,248771
19-05-2020,Andhra Pradesh,255961,2339,258450
20-05-2020,Andhra Pradesh,265052,2407,267612
21-05-2020,Andhra Pradesh,273099,2452,275704
22-05-2020,Andhra Pradesh,281452,2514,284119
23-05-2020,Andhra Pradesh,290255,2561,292969
24-05-2020,Andhra Pradesh,301529,2627,304326
25-05-2020,Andhra Pradesh,311680,2671,314566
26-05-2020,Andhra Pradesh,319731,2719,322714
27-05-2020,Andhra Pradesh,329261,2787,332378
28-05-2020,Andhra Pradesh,338991,2841,342236
29-05-2020,Andhra Pradesh,350544,2874,353874
30-05-2020,Andhra Pradesh,359917,2944,363378
31-05-2020,Andhra Pradesh,369177,3045,372748
01-06-2020,Andhra Pradesh,379639,3118,383315
02-06-2020,Andhra Pradesh,391890,3200,395681
03-06-2020,Andhra Pradesh,399776,3279,403747
04-06-2020,Andhra Pradesh,409621,3377,413733
05-06-2020,Andhra Pradesh,419314,3427,423564
06-06-2020,Andhra Pradesh,431875,3588,436335
07-06-2020,Andhra Pradesh,449371,3718,454030
08-06-2020,Andhra Pradesh,463463,3843,468276
09-06-2020,Andhra Pradesh,478332,3990,483361
10-06-2020,Andhra Pradesh,493469,4126,498716
11-06-2020,Andhra Pradesh,504889,4261,510318
12-06-2020,Andhra Pradesh,516457,4402,522093
13-06-2020,Andhra Pradesh,530712,4588,536570
14-06-2020,Andhra Pradesh,546050,4841,552202
15-06-2020,Andhra Pradesh,560919,5087,567375
16-06-2020,Andhra Pradesh,576566,5280,583286
17-06-2020,Andhra Pradesh,591403,5555,598474
18-06-2020,Andhra Pradesh,604901,5854,612397
19-06-2020,Andhra Pradesh,622045,7961,630006
20-06-2020,Andhra Pradesh,643925,8452,652377
21-06-2020,Andhra Pradesh,667899,8929,676828
22-06-2020,Andhra Pradesh,684176,9372,693548
23-06-2020,Andhra Pradesh,704353,9834,714187
24-06-2020,Andhra Pradesh,739903,10331,750234
25-06-2020,Andhra Pradesh,758435,10884,769319
26-06-2020,Andhra Pradesh,780135,11489,791624
27-06-2020,Andhra Pradesh,803797,12285,816082
28-06-2020,Andhra Pradesh,828762,13098,841860
29-06-2020,Andhra Pradesh,858185,13891,872076
30-06-2020,Andhra Pradesh,875595,14595,890190
01-07-2020,Andhra Pradesh,903177,15252,918429
02-07-2020,Andhra Pradesh,916616,16097,932713
03-07-2020,Andhra Pradesh,954677,16934,971611
04-07-2020,Andhra Pradesh,978874,17699,996573
05-07-2020,Andhra Pradesh,998443,18697,1017140
06-07-2020,Andhra Pradesh,1013833,20019,1033852
07-07-2020,Andhra Pradesh,1028897,21197,1050090
08-07-2020,Andhra Pradesh,1055474,22259,1077733
09-07-2020,Andhra Pradesh,1070801,23814,1094615
10-07-2020,Andhra Pradesh,1090213,25422,1115635
11-07-2020,Andhra Pradesh,1108990,27235,1136225
12-07-2020,Andhra Pradesh,1124681,29168,1153849
13-07-2020,Andhra Pradesh,1141993,31103,1173096
14-07-2020,Andhra Pradesh,1162747,33019,1195766
15-07-2020,Andhra Pradesh,1182512,35451,1217963
16-07-2020,Andhra Pradesh,1202223,38044,1240267
17-07-2020,Andhra Pradesh,1219866,40646,1260512
18-07-2020,Andhra Pradesh,1239775,44609,1284384
19-07-2020,Andhra Pradesh,1265882,49650,1315532
20-07-2020,Andhra Pradesh,1295388,53724,1349112
21-07-2020,Andhra Pradesh,1327606,58668,1386274
22-07-2020,Andhra Pradesh,1371114,64713,1435827
23-07-2020,Andhra Pradesh,1421168,72711,1493879
24-07-2020,Andhra Pradesh,1461135,80858,1541993
25-07-2020,Andhra Pradesh,1507003,88671,1595674
26-07-2020,Andhra Pradesh,1547021,96298,1643319
27-07-2020,Andhra Pradesh,1584097,102349,1686446
28-07-2020,Andhra Pradesh,1639128,110297,1749425
29-07-2020,Andhra Pradesh,1699619,120390,1820009
30-07-2020,Andhra Pradesh,1759520,130557,1890077
31-07-2020,Andhra Pradesh,1810843,140933,1951776
01-08-2020,Andhra Pradesh,1862364,150209,2012573
02-08-2020,Andhra Pradesh,1906643,158764,2065407
03-08-2020,Andhra Pradesh,1944337,166586,2110923
04-08-2020,Andhra Pradesh,1998737,176333,2175070
05-08-2020,Andhra Pradesh,2049185,186461,2235646
06-08-2020,Andhra Pradesh,2102543,196789,2299332
07-08-2020,Andhra Pradesh,2155310,206960,2362270
08-08-2020,Andhra Pradesh,2207353,217040,2424393
09-08-2020,Andhra Pradesh,2259445,227860,2487305
10-08-2020,Andhra Pradesh,2298779,235525,2534304
11-08-2020,Andhra Pradesh,2348070,,2592619
12-08-2020,Andhra Pradesh,2395621,,2649767
13-08-2020,Andhra Pradesh,2441317,,2705459
14-08-2020,Andhra Pradesh,2485400,,2758485
15-08-2020,Andhra Pradesh,2530380,,2812197
16-08-2020,Andhra Pradesh,2571114,,2860943
17-08-2020,Andhra Pradesh,2608912,,2905521
18-08-2020,Andhra Pradesh,2658245,,2961611
19-08-2020,Andhra Pradesh,2703293,,3019296
20-08-2020,Andhra Pradesh,2749451,,3074847
21-08-2020,Andhra Pradesh,2794917,,3129857
22-08-2020,Andhra Pradesh,2846110,,3191326
23-08-2020,Andhra Pradesh,2884927,,3238038
24-08-2020,Andhra Pradesh,2930789,,3292501
25-08-2020,Andhra Pradesh,2985213,,3356852
26-08-2020,Andhra Pradesh,3036221,,3418690
27-08-2020,Andhra Pradesh,3086900,,3479990
28-08-2020,Andhra Pradesh,3137705,,3541321
29-08-2020,Andhra Pradesh,3189181,,3603345
30-08-2020,Andhra Pradesh,3241655,,3666422
31-08-2020,Andhra Pradesh,3288141,,3722912
01-09-2020,Andhra Pradesh,3337607,,3782746
02-09-2020,Andhra Pradesh,3388019,,3843550
03-09-2020,Andhra Pradesh,3442940,,3905775
04-09-2020,Andhra Pradesh,3492083,,3965694
05-09-2020,Andhra Pradesh,3547986,,4035317
06-09-2020,Andhra Pradesh,3612660,,4107890
07-09-2020,Andhra Pradesh,3659584,,4166077
08-09-2020,Andhra Pradesh,3719976,,4237070
09-09-2020,Andhra Pradesh,3781250,,4308762
10-09-2020,Andhra Pradesh,3843304,,4380991
11-09-2020,Andhra Pradesh,3904442,,4452128
12-09-2020,Andhra Pradesh,3970006,,4527593
13-09-2020,Andhra Pradesh,4032703,,4599826
14-09-2020,Andhra Pradesh,4086276,,4661355
15-09-2020,Andhra Pradesh,4147941,,4731866
16-09-2020,Andhra Pradesh,4214119,,4806879
17-09-2020,Andhra Pradesh,4282909,,4884371
18-09-2020,Andhra Pradesh,4349523,,4959081
19-09-2020,Andhra Pradesh,,,5033676
20-09-2020,Andhra Pradesh,,,5104131
21-09-2020,Andhra Pradesh,4528951,,5160700
09-04-2020,Arunachal Pradesh,185,1,206
14-04-2020,Arunachal Pradesh,250,1,280
17-04-2020,Arunachal Pradesh,338,1,363
18-04-2020,Arunachal Pradesh,358,1,389
20-04-2020,Arunachal Pradesh,405,1,439
21-04-2020,Arunachal Pradesh,433,1,454
22-04-2020,Arunachal Pradesh,441,2,496
24-04-2020,Arunachal Pradesh,508,2,526
26-04-2020,Arunachal Pradesh,529,2,568
27-04-2020,Arunachal Pradesh,566,2,584
28-04-2020,Arunachal Pradesh,581,2,610
29-04-2020,Arunachal Pradesh,595,2,662
30-04-2020,Arunachal Pradesh,656,2,694
01-05-2020,Arunachal Pradesh,692,2,724
03-05-2020,Arunachal Pradesh,761,2,810
04-05-2020,Arunachal Pradesh,762,2,869
05-05-2020,Arunachal Pradesh,814,2,970
06-05-2020,Arunachal Pradesh,857,2,1039
07-05-2020,Arunachal Pradesh,952,2,1144
08-05-2020,Arunachal Pradesh,1015,2,1354
09-05-2020,Arunachal Pradesh,1266,2,1597
10-05-2020,Arunachal Pradesh,1363,2,1823
11-05-2020,Arunachal Pradesh,1538,2,2078
12-05-2020,Arunachal Pradesh,1798,2,2257
13-05-2020,Arunachal Pradesh,1902,2,2483
14-05-2020,Arunachal Pradesh,2233,2,2677
15-05-2020,Arunachal Pradesh,2546,2,2942
16-05-2020,Arunachal Pradesh,2861,2,3163
17-05-2020,Arunachal Pradesh,2966,2,3349
18-05-2020,Arunachal Pradesh,3166,2,3662
19-05-2020,Arunachal Pradesh,3392,2,3941
20-05-2020,Arunachal Pradesh,3710,2,4157
21-05-2020,Arunachal Pradesh,3963,2,4438
22-05-2020,Arunachal Pradesh,4211,2,4844
23-05-2020,Arunachal Pradesh,4340,2,5206
24-05-2020,Arunachal Pradesh,4552,2,5428
25-05-2020,Arunachal Pradesh,4941,2,5997
26-05-2020,Arunachal Pradesh,5083,2,6319
27-05-2020,Arunachal Pradesh,5405,2,6436
28-05-2020,Arunachal Pradesh,5677,3,6984
29-05-2020,Arunachal Pradesh,6268,3,7488
30-05-2020,Arunachal Pradesh,6675,4,8017
31-05-2020,Arunachal Pradesh,7012,4,8283
01-06-2020,Arunachal Pradesh,7528,22,8768
02-06-2020,Arunachal Pradesh,7806,28,9079
03-06-2020,Arunachal Pradesh,7927,38,9551
04-06-2020,Arunachal Pradesh,8552,43,10025
05-06-2020,Arunachal Pradesh,8877,46,10790
06-06-2020,Arunachal Pradesh,9350,49,11261
07-06-2020,Arunachal Pradesh,9921,51,11516
08-06-2020,Arunachal Pradesh,10376,57,12012
09-06-2020,Arunachal Pradesh,10642,57,12455
10-06-2020,Arunachal Pradesh,11420,61,13035
11-06-2020,Arunachal Pradesh,11754,67,13479
12-06-2020,Arunachal Pradesh,12119,87,14047
13-06-2020,Arunachal Pradesh,12817,88,14518
15-06-2020,Arunachal Pradesh,13610,95,15453
16-06-2020,Arunachal Pradesh,14339,99,16158
17-06-2020,Arunachal Pradesh,14698,103,16630
18-06-2020,Arunachal Pradesh,14698,103,16630
19-06-2020,Arunachal Pradesh,14698,135,18008
20-06-2020,Arunachal Pradesh,16827,135,18521
21-06-2020,Arunachal Pradesh,17100,139,19154
22-06-2020,Arunachal Pradesh,18123,148,19799
23-06-2020,Arunachal Pradesh,18571,158,20398
24-06-2020,Arunachal Pradesh,18979,160,20938
25-06-2020,Arunachal Pradesh,19298,172,21274
26-06-2020,Arunachal Pradesh,19877,174,21890
27-06-2020,Arunachal Pradesh,20209,177,22623
28-06-2020,Arunachal Pradesh,20673,182,23011
29-06-2020,Arunachal Pradesh,21408,187,23709
30-06-2020,Arunachal Pradesh,21766,191,24237
01-07-2020,Arunachal Pradesh,22443,195,24856
02-07-2020,Arunachal Pradesh,23025,232,25440
03-07-2020,Arunachal Pradesh,23486,252,25917
04-07-2020,Arunachal Pradesh,24025,259,26569
05-07-2020,Arunachal Pradesh,24466,269,26808
06-07-2020,Arunachal Pradesh,24900,270,27645
07-07-2020,Arunachal Pradesh,25649,276,28072
08-07-2020,Arunachal Pradesh,25996,287,28581
09-07-2020,Arunachal Pradesh,26707,302,29232
10-07-2020,Arunachal Pradesh,28023,335,29834
11-07-2020,Arunachal Pradesh,28711,341,30922
12-07-2020,Arunachal Pradesh,29296,359,31520
13-07-2020,Arunachal Pradesh,30725,387,32691
14-07-2020,Arunachal Pradesh,31688,462,33807
15-07-2020,Arunachal Pradesh,32450,491,34619
16-07-2020,Arunachal Pradesh,33222,543,35430
17-07-2020,Arunachal Pradesh,34040,609,36426
18-07-2020,Arunachal Pradesh,35471,650,38042
19-07-2020,Arunachal Pradesh,37032,740,39288
20-07-2020,Arunachal Pradesh,37752,790,40477
21-07-2020,Arunachal Pradesh,39116,858,41772
22-07-2020,Arunachal Pradesh,42369,949,44986
23-07-2020,Arunachal Pradesh,46332,991,48880
24-07-2020,Arunachal Pradesh,51033,1056,53335
25-07-2020,Arunachal Pradesh,55574,1126,57861
26-07-2020,Arunachal Pradesh,57541,1158,59558
27-07-2020,Arunachal Pradesh,61629,1239,63784
28-07-2020,Arunachal Pradesh,65962,1330,68034
29-07-2020,Arunachal Pradesh,70551,1410,72739
30-07-2020,Arunachal Pradesh,75572,1484,77630
31-07-2020,Arunachal Pradesh,77637,1591,81865
01-08-2020,Arunachal Pradesh,81988,1673,86288
02-08-2020,Arunachal Pradesh,84700,1698,89031
03-08-2020,Arunachal Pradesh,86828,1758,91227
04-08-2020,Arunachal Pradesh,91127,1790,93365
05-08-2020,Arunachal Pradesh,91164,1855,95983
06-08-2020,Arunachal Pradesh,93684,1948,98733
07-08-2020,Arunachal Pradesh,96758,2049,101947
08-08-2020,Arunachal Pradesh,99460,2117,104833
09-08-2020,Arunachal Pradesh,101265,2155,106792
10-08-2020,Arunachal Pradesh,104171,2231,109863
11-08-2020,Arunachal Pradesh,106807,2327,112689
12-08-2020,Arunachal Pradesh,109794,,115758
13-08-2020,Arunachal Pradesh,112767,,118882
14-08-2020,Arunachal Pradesh,115112,2607,121371
15-08-2020,Arunachal Pradesh,116538,2658,122854
16-08-2020,Arunachal Pradesh,118381,,124786
17-08-2020,Arunachal Pradesh,120729,,127286
18-08-2020,Arunachal Pradesh,123408,,130246
19-08-2020,Arunachal Pradesh,126085,,133048
20-08-2020,Arunachal Pradesh,128762,,136092
21-08-2020,Arunachal Pradesh,131556,,138913
22-08-2020,Arunachal Pradesh,134121,,141655
23-08-2020,Arunachal Pradesh,135812,,143626
24-08-2020,Arunachal Pradesh,138059,,146012
25-08-2020,Arunachal Pradesh,141127,,149273
26-08-2020,Arunachal Pradesh,144556,,152852
27-08-2020,Arunachal Pradesh,147281,,155750
28-08-2020,Arunachal Pradesh,150209,,158993
29-08-2020,Arunachal Pradesh,152666,,161525
30-08-2020,Arunachal Pradesh,155425,,164524
31-08-2020,Arunachal Pradesh,158324,,167615
01-09-2020,Arunachal Pradesh,160911,,170445
02-09-2020,Arunachal Pradesh,163658,,173469
03-09-2020,Arunachal Pradesh,167280,,177259
04-09-2020,Arunachal Pradesh,170070,,180372
05-09-2020,Arunachal Pradesh,172829,,183390
06-09-2020,Arunachal Pradesh,174589,,185322
07-09-2020,Arunachal Pradesh,177394,,188435
08-09-2020,Arunachal Pradesh,180193,,191632
09-09-2020,Arunachal Pradesh,182937,,194647
10-09-2020,Arunachal Pradesh,185795,,197711
11-09-2020,Arunachal Pradesh,188857,,201010
12-09-2020,Arunachal Pradesh,191018,,203356
13-09-2020,Arunachal Pradesh,192960,,205519
14-09-2020,Arunachal Pradesh,195308,,208164
15-09-2020,Arunachal Pradesh,197252,,210345
16-09-2020,Arunachal Pradesh,200905,,214292
17-09-2020,Arunachal Pradesh,202540,,216202
18-09-2020,Arunachal Pradesh,204350,,218285
19-09-2020,Arunachal Pradesh,206425,,220706
20-09-2020,Arunachal Pradesh,207925,,222429
21-09-2020,Arunachal Pradesh,210458,,225328
02-04-2020,Assam,819,16,962
10-04-2020,Assam,2685,29,2863
11-04-2020,Assam,2842,29,3011
12-04-2020,Assam,2973,29,3138
14-04-2020,Assam,3267,31,3491
15-04-2020,Assam,3492,32,3613
16-04-2020,Assam,3803,34,4108
17-04-2020,Assam,4024,34,4236
18-04-2020,Assam,4199,34,4400
19-04-2020,Assam,4584,34,4865
20-04-2020,Assam,4937,34,5112
21-04-2020,Assam,5245,34,5514
24-04-2020,Assam,6391,35,6680
25-04-2020,Assam,6781,35,7159
26-04-2020,Assam,7474,35,7823
27-04-2020,Assam,7985,35,8117
29-04-2020,Assam,8771,37,9520
02-05-2020,Assam,10499,42,11623
04-05-2020,Assam,11764,42,12775
05-05-2020,Assam,12533,43,13442
09-05-2020,Assam,15076,59,16167
10-05-2020,Assam,16236,62,18002
11-05-2020,Assam,17813,64,19589
12-05-2020,Assam,19211,64,21791
14-05-2020,Assam,23178,86,25824
15-05-2020,Assam,25431,86,28178
16-05-2020,Assam,28332,91,31276
17-05-2020,Assam,32035,97,34376
18-05-2020,Assam,35159,106,37898
19-05-2020,Assam,38138,141,41116
20-05-2020,Assam,42729,170,47084
21-05-2020,Assam,46442,203,51730
22-05-2020,Assam,50450,259,55791
23-05-2020,Assam,54185,329,60405
24-05-2020,Assam,58972,378,66444
25-05-2020,Assam,62244,526,70029
26-05-2020,Assam,66562,616,72654
29-05-2020,Assam,84933,1024,92390
30-05-2020,Assam,91248,1185,101257
31-05-2020,Assam,101006,1272,109097
02-06-2020,Assam,111229,1513,120375
03-06-2020,Assam,117650,1672,126726
04-06-2020,Assam,122618,1988,133029
06-06-2020,Assam,136154,2397,146605
07-06-2020,Assam,142192,2565,153326
09-06-2020,Assam,159760,2937,169842
11-06-2020,Assam,171070,3319,181108
12-06-2020,Assam,177989,3498,188090
15-06-2020,Assam,,4158,217088
16-06-2020,Assam,,4319,227109
17-06-2020,Assam,,4605,235214
18-06-2020,Assam,,4861,246590
19-06-2020,Assam,,4904,258797
20-06-2020,Assam,,5006,273047
21-06-2020,Assam,,5388,288306
22-06-2020,Assam,,5586,301557
23-06-2020,Assam,,5853,323258
24-06-2020,Assam,,6282,336091
25-06-2020,Assam,,6646,351753
26-06-2020,Assam,,6646,362713
27-06-2020,Assam,,6919,374519
28-06-2020,Assam,,7165,385299
29-06-2020,Assam,,7492,399393
30-06-2020,Assam,,7835,412214
01-07-2020,Assam,,8547,419878
02-07-2020,Assam,,8955,428866
03-07-2020,Assam,,9434,438882
04-07-2020,Assam,,9799,449629
05-07-2020,Assam,,11001,459143
06-07-2020,Assam,,11736,471221
07-07-2020,Assam,,12522,485156
09-07-2020,Assam,,14032,508973
10-07-2020,Assam,,14600,525485
11-07-2020,Assam,,15536,537831
12-07-2020,Assam,,16071,552376
13-07-2020,Assam,,16806,563482
14-07-2020,Assam,,17807,575867
15-07-2020,Assam,,18666,589202
16-07-2020,Assam,,19754,601385
17-07-2020,Assam,,20646,614743
18-07-2020,Assam,,21864,632372
19-07-2020,Assam,,22981,651179
20-07-2020,Assam,,23999,671191
21-07-2020,Assam,,25092,689343
22-07-2020,Assam,,27744,703374
23-07-2020,Assam,,28791,723287
24-07-2020,Assam,,29921,739465
25-07-2020,Assam,,31086,753939
26-07-2020,Assam,,32228,774484
27-07-2020,Assam,,33576,796226
28-07-2020,Assam,,34947,802674
29-07-2020,Assam,,36295,838043
30-07-2020,Assam,,38407,879071
31-07-2020,Assam,,40269,917395
01-08-2020,Assam,,41726,944556
02-08-2020,Assam,,42904,964499
03-08-2020,Assam,,45275,1006457
04-08-2020,Assam,,48161,1065521
05-08-2020,Assam,,50445,1124683
06-08-2020,Assam,,52817,1180336
07-08-2020,Assam,,55496,1238867
08-08-2020,Assam,,57714,1293712
09-08-2020,Assam,,58837,1318204
10-08-2020,Assam,,61737,1378629
11-08-2020,Assam,,64406,1430691
12-08-2020,Assam,,68999,1573800
13-08-2020,Assam,,71795,1635118
14-08-2020,Assam,,74501,1684721
15-08-2020,Assam,,,1705526
16-08-2020,Assam,,76875,1725893
17-08-2020,Assam,,79667,1775403
18-08-2020,Assam,,82201,1819819
